production_bk,production_company,production_country,production_language
54606,Ontario Film and Television Tax Credit (OFTTC),United Kingdom,Original
54610,Mantello Brothers Productions,United Kingdom,Original
54634,Mosaic,United States of America,Original
54684,101st Street Films,United States of America,Original
54850,Bulletproof Cupid,United States of America,Spoken
54860,Argonaut Pictures,United States of America,Original
54940,Algonquin Productions Limited,United Kingdom,Original
54946,Absinthe Productions,United States of America,Original
54997,WR Universal Group,United States of America,Spoken
55015,Pointe Studios,United States of America,Original
55072,Strong Heart/Demme Production,United States of America,Original
55258,White Noise UK Ltd.,United States of America,Original
55265,Chapter One Films,United States of America,Original
55405,Saw Productions Inc.,United States of America,Original
55428,Manderlay,United Kingdom,Original
55465,Televisa S.A. de C.V.,Spain,Original
55474,Stargate Studios,United States of America,Original
55474,Stargate Studios,United States of America,Spoken
55497,Sobras International Pictures,United States of America,Original
55512,Theobald Film Productions,United States of America,Spoken
55518,Romero-Grunwald Productions,United States of America,Original
55519,Exception Wild Bunch,United States of America,Original
55527,Courtside Seats Productions,United States of America,Spoken
55528,Oak Productions,United States of America,Spoken
55532,St. Tropez Films,United States of America,Original
55533,Cinema Line Film Corporation,United States of America,Original
55630,Judgement Pictures,United States of America,Original
55631,Hammond Entertainment,United States of America,Original
55776,Arco Films S.L,Spain,Original
55777,Hool/Macdonald Productions,Spain,Original
55778,Producciones San Patricia,Spain,Original
55852,Pistolero Productions LLC,United States of America,Spoken
55914,Konami,United States of America,Spoken
55990,Parnassus Productions,United Kingdom,Spoken
55991,U.K. Tax Credit,United Kingdom,Spoken
56050,SF Norge A/S,Norway,Original
56181,Domino 17521,United States of America,Original
56343,Ace Film Company,Canada,Original
56344,Chunqiu Time Culture Co.,Canada,Original
56358,Gobierno del Estado de Puebla,Mexico,Original
56482,Arachnid Productions Ltd.,United States of America,Original
56620,Texas Chainsaw Productions,United States of America,Original
56696,Parkside Pictures,United States of America,Original
56735,Brightside Entertainment,United States of America,Original
56736,1019 Entertainment,United States of America,Original
56787,The South Australian Film Corporation,Australia,Original
56980,Max Stronghold Productions Inc.,United States of America,Original
57088,Sonnenfeld Josephson Worldwide Entertainment,United States of America,Spoken
57346,Park Lane Productions,United States of America,Original
57347,Blue Productions,United States of America,Original
57408,Mad Chance Productions,United States of America,Spoken
57409,22 & Indiana Pictures,United States of America,Spoken
57421,Grosvenor Park Impact Productions,United States of America,Spoken
57430,Pulse Films,United States of America,Original
57435,Applecross,United States of America,Spoken
57436,Reperage & Vanguard Films,United States of America,Spoken
57498,Canada Television and Cable Production Fund License Program (CTCPF),United States of America,Spoken
57623,Rumbalara Films,Australia,Original
57624,Olsen Levy,Australia,Original
57625,RGM Films,Australia,Original
57626,April Films,Australia,Original
57627,Red Chair Films,Australia,Original
57628,Babcock & Brown,Australia,Original
57629,The Australian Film Finance Corporation,Australia,Original
57736,Codi S.p.a.,United Kingdom,Original
57750,Twilight Productions,United States of America,Spoken
57751,Patalex Productions,United States of America,Spoken
57751,Patalex Productions,United States of America,Spoken
57818,Crystalite Productions,United States of America,Spoken
57944,SPD Films,United States of America,Original
57946,Arka Media Works,India,Original
58085,DMC Films,United Kingdom,Original
58135,Pana Film,Turkey,Original
58154,Baker's Dozen Productions,United States of America,Original
58248,Unfaithful Filmproduktion GmbH & Co. KG,United States of America,Spoken
58249,Resident Evil Productions,United States of America,Spoken
58260,Attitude Pinu00edculas y Films A.I.E.,United States of America,Original
58262,Birnbaum / Barber Productions,United States of America,Spoken
58262,Birnbaum / Barber Productions,United States of America,Spoken
58263,Jackie Chan Films Limited,United States of America,Spoken
58264,All Knight Productions,United States of America,Spoken
58331,Franklin/Waterman Productions,United States of America,Spoken
58333,Compulsion Inc.,United States of America,Spoken
58334,Splendid Medien AG,United States of America,Spoken
58399,Pantelion Films,Mexico,Original
58399,Pantelion Films,United States of America,Original
58445,IamOTHER Entertainment,United States of America,Original
58553,Michaels-Goldwyn,United States of America,Spoken
58574,The Klimax,United States of America,Original
58637,Tremolo Productions,United States of America,Original
58659,Left Field Ventures,Spain,Original
58772,Prone Gunman,United States of America,Spoken
58773,Amazon Prime Instant Video,United Kingdom,Original
58773,Amazon Prime Instant Video,United States of America,Spoken
58773,Amazon Prime Instant Video,United Kingdom,Spoken
58774,Prone Gunman A.I.E.,United States of America,Spoken
58849,Bago Pictures,United States of America,Original
59006,Limb from Limb Pictures,United States of America,Original
59007,Execution Style Entertainment,United States of America,Original
59196,Duck Farm Films,,Original
59341,Silver Sphere Corporation,United States of America,Spoken
59346,Turbo Productions,Canada,Original
59348,Plywood Productions,United States of America,Spoken
59367,Mike and Marty Productions,United States of America,Original
59391,Lemodeln Model & Talent Agency,United States of America,Original
59423,"The Straight Story, Inc",United States of America,Original
59462,Two Camels Films,United States of America,Original
59488,Cinema Seven Productions,United States of America,Spoken
59490,SJ Pictures,United States of America,Spoken
59725,On Entertainment,France,Spoken
59778,A113,United States of America,Spoken
59827,Patrick Aiello Productions,United States of America,Spoken
59951,Bisgrove Entertainment,United States of America,Original
59952,"Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST)",United States of America,Spoken
59955,Burro Productions,United States of America,Spoken
59957,MMCB Film Produktion 2004,United States of America,Spoken
59972,IDEA Filmproduktions,United States of America,Original
60018,Rice Films,United States of America,Original
60022,Aversano Films,United States of America,Spoken
60171,33 Pictures,United States of America,Original
60255,Half Circle,Chile,Spoken
60343,Eyeline Entertainment,United Kingdom,Original
60360,FallsApart Productions,United States of America,Original
60378,Callahan Filmworks,United States of America,Spoken
60378,Callahan Filmworks,United States of America,Spoken
60473,Gordonstreet Pictures,United States of America,Original
60481,Film Threat DVD,United States of America,Original
60490,Triumphant Entertainment,United States of America,Original
60515,Maple Leaf Finance Primeredian Entertainment,Luxembourg,Original
60537,Walden Productions,United States of America,Spoken
60546,RCS,United States of America,Original
60600,Storefront Films,United States of America,Original
60611,Lauren Levine Productions Inc.,United States of America,Spoken
60658,Zippcast Films,France,Spoken
60682,Artemple - Hollywood,United States of America,Spoken
60714,Mili Pictures,United States of America,Original
60746,Unique Features,United States of America,Spoken
60747,Mr. Smith Productions,United States of America,Spoken
60954,Triple D Productions,United States of America,Original
61011,Scythia Films,Canada,Original
61011,Scythia Films,United States of America,Original
61194,Fragmighty,United States of America,Original
61195,Transom Films,United States of America,Original
61197,Valenti Entertainment,United States of America,Original
61307,Kibble Productions,Canada,Original
61337,Dollface,United States of America,Original
61372,AliBella Pictures,United States of America,Original
61373,Bystander Films,United States of America,Original
61374,Management Production Entertainment (MPE),United States of America,Original
61375,Mangrove Media,United States of America,Original
61409,T2 Productions,United States of America,Spoken
61416,Filmsmith Productions,United States of America,Original
61417,Medici Entertainment,United States of America,Original
61418,Gremi Film Production,United States of America,Original
61428,Infra-Red Pictures,United States of America,Original
61791,Feigco Entertainment,United States of America,Spoken
62072,Polar Entertainment Corporation,United States of America,Original
62072,Polar Entertainment Corporation,United States of America,Original
62102,Torn Pictures,United Kingdom,Original
